Variant,NSE,RMSE,MAE,Time (s)
Full MLBII-LGBM,0.8829374936693566,2.6850746218501143,1.4582558219007777,26.49008733034134
No lag-self,0.8179626251303087,3.4980498673900278,1.9667797560342821,22.87972128391266
No snapshot,0.7810913845399301,3.7293627881599756,2.5507946831742987,21.22958594560623
No lag-other,0.8799709561831778,2.7666179179844654,1.5297424733585625,13.525133907794952
